Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679627690.254707,0,-35876.047418,-30613.12802,-51650.679308,-42445.31452,-187500.022352,-33432.264141,-187500.022352,-26655.818719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1679627690.254737,0,-35884.40697,-30638.005512,-51666.191419,-42467.286285,-187500.022352,-33452.984208,-187500.022352,-26659.260888,-15467.205997,-187500.022352,187500.0,-187500.022352,-13416.098167,-30780.631993,-47317.72659,-3681.958161
1679627690.254759,0,-35891.827749,-30645.985084,-51644.689041,-42451.058918,-187500.022352,-33429.693691,-187500.022352,-26661.741932,-15475.610253,-187500.022352,187500.0,-187500.022352,-13420.188537,-30780.699048,-47327.516654,-3437.854759
1679627690.254777,0,-35900.522578,-30628.774241,-51654.255587,-42469.476756,-187500.022352,-33446.971589,-187500.022352,-26659.126778,-15458.600576,-187500.022352,187500.0,-187500.022352,-13416.858127,-30768.539699,-47315.580823,-3744.543045
1679627690.254795,0,-35881.903575,-30634.630398,-51644.55493,-42464.157041,-187500.022352,-33436.533324,-187500.022352,-26654.567022,-15476.280806,-187500.022352,187500.0,-187500.022352,-13433.264307,-30781.771932,-47325.437942,-3480.054853
1679627690.254812,0,-35892.520653,-30633.401052,-51634.966032,-42460.513706,-187500.022352,-33432.711176,-187500.022352,-26651.21426,-15467.988308,-187500.022352,187500.0,-187500.022352,-13413.818289,-30769.1879,-47305.16491,-3589.176069
1679627690.254831,0,-35893.101799,-30634.250418,-51648.310023,-42477.881012,-187500.022352,-33454.057092,-187500.022352,-26652.600068,-15456.074829,-187500.022352,187500.0,-187500.022352,-13405.637551,-30773.010048,-47303.24266,-3676.079652
1679627690.254848,0,-35894.01822,-30642.408805,-51636.150674,-42465.81107,-187500.022352,-33440.266066,-187500.022352,-26657.539804,-15476.347861,-187500.022352,187500.0,-187500.022352,-13414.779415,-30788.320993,-47307.936526,-3439.307623
1679627690.254866,0,-35864.357455,-30631.657616,-51645.136076,-42474.327084,-187500.022352,-33448.78208,-187500.022352,-26655.706961,-15457.997079,-187500.022352,187500.0,-187500.022352,-13412.901868,-30776.206347,-47301.946259,-3741.257339
1679627690.254884,0,-35899.606156,-30645.202773,-51645.538407,-42476.003465,-187500.022352,-33444.490545,-187500.022352,-26658.836205,-15463.830884,-187500.022352,187500.0,-187500.022352,-13429.911546,-30793.506598,-47315.223195,-3503.635943
1679627690.254902,0,-35901.461351,-30654.724616,-51645.024317,-42482.507823,-187500.022352,-33446.524554,-187500.022352,-26667.173406,-15463.540311,-187500.022352,187500.0,-187500.022352,-13409.794975,-30781.3696,-47308.987058,-3605.001104
1679627690.255104,0,-35890.732514,-30624.594465,-51657.585997,-42502.691448,-187500.022352,-33465.523537,-187500.022352,-26670.906147,-15471.564588,-187500.022352,187500.0,-187500.022352,-13433.443121,-30809.398688,-47322.688678,-3697.112643
1679627690.255131,0,-35880.115435,-30658.837337,-51629.288689,-42478.663323,-187500.022352,-33433.761708,-187500.022352,-26663.999458,-15467.697736,-187500.022352,187500.0,-187500.022352,-13415.002932,-30808.102287,-47320.118227,-3424.331954
1679627690.25515,0,-35886.575089,-30638.519602,-51630.339221,-42484.631239,-187500.022352,-33438.947313,-187500.022352,-26658.053894,-15449.950451,-187500.022352,187500.0,-187500.022352,-13407.448042,-30788.298641,-47303.466177,-3733.121304
1679627690.255169,0,-35877.61204,-30644.018131,-51631.210939,-42483.446596,-187500.022352,-33433.091156,-187500.022352,-26665.251156,-15468.703564,-187500.022352,187500.0,-187500.022352,-13409.303237,-30806.358851,-47312.026896,-3499.791443
1679627690.255188,0,-35898.153293,-30652.534145,-51633.759038,-42492.34259,-187500.022352,-33432.867638,-187500.022352,-26670.704981,-15475.140867,-187500.022352,187500.0,-187500.022352,-13413.125385,-30797.149932,-47313.345648,-3577.3967
1679627690.255211,0,-35891.939508,-30654.590506,-51656.758983,-42520.170512,-187500.022352,-33457.588668,-187500.022352,-26684.585414,-15484.66271,-187500.022352,187500.0,-187500.022352,-13425.307086,-30814.517237,-47327.002564,-3664.90378
